100 2999
22 24 12
22 26 80
22 28 71
22 29 99
22 30 13
22 32 69
22 33 81
22 37 25
22 39 81
22 41 38
22 42 32
22 44 38
22 46 23
22 49 31
22 51 17
22 53 7
22 54 43
22 56 91
22 59 8
22 60 27
22 63 41
22 64 13
22 67 25
22 69 35
22 70 43
22 72 93
22 73 55
22 74 77
22 75 45
22 76 53
22 81 14
22 82 71
22 83 16
22 84 3
22 85 26
22 86 9
22 87 19
22 88 47
22 89 37
22 92 35
22 95 16
22 96 25
22 99 19
23 24 52
23 26 52
23 29 67
23 31 20
23 32 99
23 34 73
23 39 60
23 40 7
23 41 21
23 42 67
23 43 13
23 44 4
23 45 38
23 47 48
23 49 5
23 50 11
23 51 65
23 52 84
23 55 2
23 58 93
23 59 6
23 60 41
23 62 74
23 64 58
23 65 41
23 67 81
23 68 100
23 69 81
23 70 25
23 75 36
23 76 67
23 77 79
23 78 12
23 79 26
23 80 51
23 81 37
23 82 80
23 83 59
23 84 62
23 85 89
23 86 28
23 87 9
23 88 20
23 89 24
23 90 91
23 91 37
23 92 22
23 93 83
23 94 54
23 97 38
23 98 70
23 99 82
24 25 9
24 26 85
24 28 29
24 31 76
24 32 74
24 33 47
24 34 95
24 36 60
24 40 14
24 41 22
24 44 60
24 47 57
24 50 78
24 55 83
24 58 80
24 61 22
24 62 37
24 63 9
24 64 57
24 66 66
24 67 83
24 68 96
24 69 73
24 72 72
24 75 17
24 77 10
24 79 93
24 80 1
24 82 28
24 83 8
24 84 19
24 85 6
24 88 74
24 89 9
24 90 80
24 91 35
24 92 52
24 93 54
24 94 95
24 96 5
24 97 12
24 98 4
25 27 69
25 28 79
25 29 31
25 30 37
25 31 90
25 33 50
25 34 35
25 36 9
25 38 18
25 39 39
25 40 68
25 41 91
25 42 25
25 43 69
25 44 3
25 45 17
25 46 53
25 47 85
25 49 12
25 50 48
25 51 12
25 52 94
25 53 84
25 55 52
25 56 95
25 59 75
25 60 27
25 64 91
25 65 99
25 66 72
25 68 29
25 69 43
25 70 73
25 72 97
25 74 51
25 75 54
25 77 85
25 79 16
25 86 5
25 87 78
25 88 80
25 91 61
25 92 73
25 93 39
25 97 88
25 98 62
26 27 11
26 29 99
26 30 1
26 31 47
26 35 56
26 36 48
26 37 6
26 38 25
26 39 46
26 40 67
26 41 81
26 43 29
26 45 94
26 46 56
26 47 78
26 48 77
26 49 65
26 50 26
26 51 96
26 52 14
26 54 4
26 56 50
26 58 72
26 60 40
26 61 16
26 62 5
26 63 73
26 66 40
26 67 77
26 68 47
26 70 97
26 71 32
26 72 12
26 73 29
26 78 83
26 83 1
26 84 59
26 85 76
26 86 69
26 87 88
26 88 22
26 89 40
26 90 81
26 91 40
26 95 31
26 96 68
26 97 27
27 31 20
27 32 86
27 33 77
27 34 48
27 35 20
27 39 60
27 41 17
27 47 86
27 49 44
27 53 72
27 54 17
27 55 6
27 56 36
27 57 65
27 58 97
27 61 55
27 62 42
27 63 41
27 65 34
27 66 100
27 68 51
27 69 48
27 70 56
27 71 4
27 72 65
27 73 8
27 75 78
27 76 8
27 77 8
27 78 6
27 79 47
27 83 62
27 84 21
27 85 8
27 87 11
27 88 48
27 89 86
27 90 3
27 91 38
27 93 10
27 94 100
27 96 93
28 29 77
28 30 100
28 32 47
28 33 13
28 34 12
28 36 95
28 37 60
28 38 42
28 39 15
28 41 36
28 44 13
28 46 2
28 47 19
28 48 27
28 49 66
28 50 42
28 51 95
28 52 40
28 54 62
28 56 35
28 57 34
28 59 69
28 61 32
28 64 87
28 65 61
28 67 30
28 68 60
28 71 61
28 74 63
28 75 24
28 77 75
28 79 57
28 80 92
28 84 12
28 86 83
28 87 48
28 89 66
28 93 19
28 95 58
28 96 86
28 97 57
29 30 64
29 31 6
29 36 49
29 37 14
29 38 91
29 39 75
29 41 13
29 42 82
29 45 17
29 46 63
29 47 31
29 48 24
29 49 9
29 50 50
29 52 24
29 53 42
29 55 16
29 56 6
29 60 27
29 62 67
29 63 33
29 64 42
29 66 34
29 67 30
29 69 49
29 71 67
29 73 31
29 76 8
29 77 28
29 78 32
29 79 67
29 81 77
29 83 90
29 84 1
29 86 85
29 87 27
29 88 22
29 89 18
29 92 96
29 93 21
29 94 32
29 97 28
29 99 79
30 31 99
30 35 70
30 36 69
30 37 79
30 38 100
30 40 20
30 41 89
30 42 2
30 43 50
30 44 35
30 45 100
30 47 53
30 48 44
30 49 75
30 50 21
30 53 89
30 54 88
30 55 45
30 56 79
30 57 3
30 60 44
30 62 23
30 63 86
30 64 13
30 66 5
30 69 49
30 70 33
30 71 12
30 72 55
30 73 9
30 77 31
30 78 26
30 79 65
30 80 41
30 81 6
30 83 48
30 84 79
30 86 40
30 92 71
30 95 67
30 97 82
30 98 31
31 32 62
31 33 35
31 36 31
31 38 32
31 39 61
31 43 73
31 44 6
31 45 16
31 47 37
31 48 49
31 50 12
31 52 63
31 53 40
31 54 94
31 55 45
31 57 57
31 58 21
31 59 62
31 60 13
31 66 68
31 67 89
31 71 71
31 74 91
31 75 35
31 76 42
31 77 50
31 82 11
31 83 89
31 84 56
31 85 85
31 86 28
31 87 84
31 89 77
31 90 36
31 91 94
31 95 49
31 96 29
32 33 13
32 34 68
32 35 28
32 37 87
32 38 84
32 39 93
32 40 8
32 41 10
32 42 82
32 43 36
32 44 68
32 45 24
32 48 19
32 49 4
32 52 87
32 54 85
32 55 62
32 56 46
32 57 34
32 59 32
32 60 17
32 62 21
32 66 77
32 67 38
32 68 32
32 71 55
32 72 83
32 73 26
32 74 25
32 78 54
32 80 30
32 82 30
32 84 94
32 85 38
32 87 33
32 88 36
32 90 76
32 91 13
32 96 77
32 97 69
32 98 75
32 99 71
33 36 70
33 38 35
33 40 67
33 41 71
33 45 81
33 47 51
33 48 55
33 49 53
33 50 13
33 51 94
33 53 47
33 54 16
33 57 2
33 58 57
33 59 95
33 61 43
33 63 1
33 65 92
33 68 32
33 70 27
33 71 46
33 74 63
33 77 39
33 78 89
33 79 70
33 82 43
33 84 50
33 85 98
33 86 73
33 87 61
33 90 62
33 91 30
33 94 99
33 95 40
33 96 95
33 97 8
33 98 39
34 35 41
34 36 96
34 37 62
34 38 14
34 40 22
34 42 9
34 43 87
34 45 46
34 46 14
34 47 26
34 48 19
34 49 60
34 50 62
34 51 57
34 56 8
34 59 59
34 61 63
34 62 93
34 63 92
34 64 91
34 66 90
34 67 34
34 68 20
34 69 98
34 70 74
34 74 67
34 77 44
34 78 57
34 80 75
34 81 23
34 82 65
34 89 6
34 91 48
34 92 82
34 96 69
34 97 72
34 98 43
35 37 79
35 40 85
35 41 22
35 42 31
35 43 28
35 44 35
35 45 67
35 47 47
35 48 55
35 49 71
35 50 6
35 52 96
35 55 46
35 58 14
35 60 3
35 62 51
35 64 84
35 65 20
35 66 65
35 67 8
35 69 36
35 71 69
35 74 9
35 76 31
35 80 28
35 81 96
35 83 24
35 84 82
35 85 30
35 87 74
35 89 50
35 90 44
35 91 11
35 92 27
35 93 10
35 94 78
35 95 47
35 96 1
35 97 95
35 98 67
36 37 37
36 38 3
36 41 16
36 42 71
36 45 80
36 48 72
36 51 43
36 52 73
36 53 86
36 54 75
36 55 64
36 57 64
36 58 78
36 65 36
36 66 40
36 67 3
36 68 39
36 69 33
36 70 58
36 71 40
36 72 77
36 73 40
36 74 53
36 75 23
36 77 42
36 79 6
36 81 30
36 82 41
36 83 90
36 84 39
36 85 95
36 86 14
36 87 44
36 89 55
36 92 15
36 94 50
36 96 53
36 98 56
36 99 79
37 40 4
37 41 48
37 43 60
37 44 48
37 45 84
37 46 42
37 48 3
37 49 66
37 50 83
37 51 14
37 52 19
37 54 76
37 55 42
37 56 31
37 57 96
37 62 17
37 63 47
37 65 33
37 67 39
37 68 69
37 69 50
37 70 60
37 71 15
37 73 15
37 74 43
37 75 48
37 78 64
37 80 6
37 82 3
37 83 36
37 85 2
37 86 71
37 87 3
37 89 8
37 91 22
37 93 79
38 39 55
38 40 87
38 43 85
38 46 60
38 47 94
38 50 69
38 51 31
38 52 71
38 53 76
38 54 41
38 55 78
38 58 1
38 61 44
38 62 17
38 63 90
38 64 3
38 65 41
38 66 55
38 70 21
38 72 41
38 73 60
38 76 81
38 77 41
38 79 57
38 82 18
38 83 59
38 84 87
38 87 66
38 88 10
38 89 50
38 91 73
38 93 30
38 94 85
38 95 18
38 98 66
38 99 92
39 40 32
39 41 95
39 42 77
39 44 82
39 45 36
39 50 94
39 53 100
39 54 67
39 56 93
39 58 40
39 59 37
39 62 18
39 63 39
39 64 38
39 65 10
39 66 76
39 68 61
39 70 38
39 72 95
39 76 76
39 78 42
39 84 48
39 85 100
39 86 84
39 89 38
39 91 65
39 92 34
39 93 27
39 97 49
39 99 46
40 41 59
40 44 20
40 45 70
40 47 35
40 48 52
40 50 58
40 53 58
40 56 20
40 57 15
40 59 23
40 60 6
40 61 5
40 64 11
40 67 81
40 68 100
40 69 50
40 70 62
40 72 66
40 73 10
40 74 66
40 75 2
40 77 84
40 78 61
40 79 41
40 81 77
40 83 17
40 84 27
40 85 27
40 86 86
40 87 67
40 88 27
40 90 62
40 92 93
40 94 95
40 96 1
40 97 32
40 98 66
41 42 15
41 43 51
41 46 80
41 48 67
41 49 53
41 51 55
41 52 84
41 54 32
41 57 6
41 58 4
41 59 100
41 61 9
41 62 54
41 63 60
41 65 49
41 66 53
41 70 86
41 73 52
41 74 33
41 75 12
41 76 38
41 77 23
41 78 67
41 79 85
41 80 25
41 81 60
41 84 4
41 86 71
41 87 69
41 92 1
41 93 74
41 95 56
41 96 91
41 97 13
41 98 53
42 44 54
42 45 21
42 47 99
42 49 30
42 50 5
42 51 70
42 53 53
42 54 59
42 56 58
42 62 85
42 63 81
42 64 42
42 65 52
42 67 24
42 70 16
42 72 67
42 73 44
42 76 97
42 77 49
42 80 86
42 82 8
42 84 10
42 85 9
42 86 34
42 87 41
42 89 22
42 91 34
42 94 24
42 97 54
42 98 95
43 44 55
43 48 100
43 49 31
43 50 75
43 51 71
43 52 7
43 54 55
43 55 21
43 56 82
43 57 13
43 58 49
43 59 49
43 60 38
43 61 38
43 63 27
43 64 42
43 65 92
43 67 63
43 68 14
43 70 54
43 71 32
43 72 25
43 73 3
43 74 47
43 75 91
43 76 6
43 80 68
43 81 29
43 82 67
43 84 43
43 85 80
43 86 30
43 87 44
43 89 97
43 91 91
43 94 9
43 95 96
43 96 10
43 97 72
43 99 96
44 45 90
44 46 45
44 47 52
44 48 54
44 50 9
44 52 41
44 53 44
44 55 22
44 56 46
44 59 48
44 63 43
44 65 74
44 66 7
44 67 31
44 68 84
44 69 33
44 74 30
44 76 63
44 77 84
44 78 42
44 80 15
44 81 25
44 82 32
44 83 14
44 85 38
44 87 65
44 88 46
44 89 96
44 91 60
44 92 57
44 94 66
44 97 76
44 99 63
45 47 57
45 50 83
45 53 6
45 54 17
45 57 5
45 59 42
45 61 11
45 62 24
45 64 56
45 65 19
45 67 88
45 68 81
45 69 10
45 70 56
45 71 3
45 73 99
45 74 72
45 78 81
45 79 92
45 80 62
45 83 19
45 84 52
45 86 14
45 87 38
45 90 34
45 91 41
45 92 17
45 94 25
45 95 75
45 96 35
45 99 98
46 47 78
46 50 79
46 51 37
46 54 95
46 55 20
46 58 60
46 60 99
46 62 52
46 63 90
46 66 68
46 67 63
46 69 17
46 71 31
46 72 53
46 73 94
46 75 1
46 78 83
46 79 87
46 81 72
46 83 3
46 84 21
46 85 50
46 87 6
46 89 43
46 90 51
46 91 78
46 92 56
46 97 3
46 98 74
47 48 57
47 50 86
47 52 7
47 53 70
47 55 48
47 56 21
47 58 38
47 59 49
47 61 39
47 64 44
47 65 53
47 66 4
47 68 93
47 70 16
47 72 17
47 75 9
47 77 51
47 78 100
47 79 42
47 85 42
47 86 12
47 91 52
47 92 95
47 94 29
47 95 46
47 96 13
47 97 89
47 98 57
47 99 60
48 49 72
48 52 21
48 53 55
48 55 60
48 57 29
48 60 69
48 61 87
48 62 87
48 65 46
48 71 79
48 72 83
48 73 41
48 76 98
48 78 85
48 80 20
48 81 89
48 83 74
48 84 74
48 86 72
48 88 99
48 89 44
48 90 20
48 91 1
48 92 66
48 93 17
48 95 61
48 97 48
48 98 88
48 99 82
49 51 99
49 53 57
49 54 58
49 56 26
49 58 26
49 59 44
49 60 13
49 64 45
49 65 22
49 66 69
49 68 40
49 69 10
49 70 83
49 72 24
49 73 31
49 75 17
49 79 27
49 81 91
49 84 66
49 86 21
49 88 68
49 89 27
49 90 15
49 91 69
49 92 96
49 93 21
49 96 93
49 97 31
50 52 7
50 54 55
50 55 74
50 57 79
50 58 37
50 59 48
50 63 8
50 65 70
50 66 47
50 67 19
50 71 29
50 72 73
50 73 82
50 74 51
50 75 74
50 76 23
50 78 73
50 80 54
50 81 81
50 82 14
50 83 47
50 84 80
50 86 67
50 87 10
50 90 20
50 92 44
50 93 58
50 95 98
50 97 19
50 98 31
50 99 55
51 52 70
51 53 41
51 54 6
51 55 33
51 60 35
51 62 42
51 63 15
51 64 3
51 67 76
51 68 14
51 70 82
51 71 71
51 72 97
51 73 80
51 75 78
51 77 74
51 78 75
51 80 60
51 81 71
51 83 44
51 86 1
51 89 69
51 91 1
51 92 94
51 93 19
51 94 49
51 95 43
51 96 37
51 98 82
52 54 64
52 55 14
52 57 100
52 58 14
52 60 31
52 61 46
52 65 39
52 66 95
52 69 62
52 71 68
52 72 67
52 73 77
52 74 75
52 75 77
52 77 18
52 78 81
